facility_id,facility_name,sector,subsectors,latitude,longitude
1011446,Knott Booster,Petroleum and Natural Gas Systems,W_Other,32.342222,-101.570833
1011459,TARGA EDWARD GAS PROCESSING PLANT,Petroleum and Natural Gas Systems,W3,31.33891,-101.80057
1011509,Targa Midstream Services LLC - Railway Ranch Compressor Station,Petroleum and Natural Gas Systems,W3,31.6529,-102.2616
1011510,High Plains/Hopson Gas Plant,Petroleum and Natural Gas Systems,W3,31.853619,-101.790614
1011523,Targa Midstream Services LLC - Ponderosa Compressor Station,Petroleum and Natural Gas Systems,W_Other,31.50074137,-102.5964458
1011539,TARGA DUSEK COMPRESSOR STATION,Petroleum and Natural Gas Systems,W_Other,31.6554536,-101.9907888
1011540,TARGA HUTT BOOSTER STATION,Petroleum and Natural Gas Systems,W_Other,31.78795,-101.961638
1011544,Delaware Compressor Station,Petroleum and Natural Gas Systems,W_Other,31.59566,-104.07326
1011556,TARGA COLE RANCH COMPRESSOR STATION,Petroleum and Natural Gas Systems,W_Other,31.732689,-101.605147
1011557,TARGA COX COMPRESSOR STATION,Petroleum and Natural Gas Systems,W_Other,31.631501,-101.51353
1011558,Pembrook Gas Plant,Petroleum and Natural Gas Systems,"W3,W_Other",31.632682,-101.843305
1011670,Silver Plant,Petroleum and Natural Gas Systems,W3,32.011814,-101.022991
1011695,Munson Plant,Petroleum and Natural Gas Systems,W3,31.158936,-101.096615
1011717,Barnhart Compressor Station,Petroleum and Natural Gas Systems,W4,31.146135,-101.270876
1011722,MidMar East Gas Plant,Petroleum and Natural Gas Systems,W3,32.177972,-102.194031
1011812,RKI Stateline Compressor Station,Petroleum and Natural Gas Systems,W_Other,31.984376,-103.868783
1011878,Goodrich Booster Station,Petroleum and Natural Gas Systems,W_Other,32.146768,-101.930319
1011896,Ector County Energy Center,Power Plants,D,32.070729,-102.587361
1011930,Pecos Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.39066,-103.48953
1011931,James Lake Gas Plant,Petroleum and Natural Gas Systems,W3,31.9636,-102.6018
1011970,TARGA ROCKER B COMPRESSOR STATION,Petroleum and Natural Gas Systems,W_Other,31.26942,-101.389
1012011,Northern Natural Gas Company - Seminole,Petroleum and Natural Gas Systems,W4,32.979657,-102.819714
1012153,"EPNG Station 6399 Black River, TX",Petroleum and Natural Gas Systems,W4,30.7444469,-102.491284
1012161,Hidalgo Cryogenic Gas Plant,Petroleum and Natural Gas Systems,W3,31.833072,-104.241394
1012321,"Pioneer Natural Resources USA, Inc. Permian",Petroleum and Natural Gas Systems,W9,32.0338030904124,-102.085664702606
1012432,Durango Midstream - Permian Basin Gathering & Boosting,Petroleum and Natural Gas Systems,W9,32.8146,-103.7705
1012445,"Davis Gas Processing, Inc. 430 Permian Basin GB",Petroleum and Natural Gas Systems,W9,31.99906,-102.07688
1012446,"WTG Jameson, L.P. 430 Permian Basin GB",Petroleum and Natural Gas Systems,W9,31.99906,-102.07688
1012457,"WTG Gas Processing, LLC 430 Permian Basin GB",Petroleum and Natural Gas Systems,W9,31.99906,-102.07688
1012461,WTG South Permian Midstream LLC 430 Permian Basin GB,Petroleum and Natural Gas Systems,W9,31.99906,-102.07688
1012465,Buffalo Gas Plant,Petroleum and Natural Gas Systems,W3,32.1309623,-101.8015688
1012519,Delaware Basin Gas Plant,Petroleum and Natural Gas Systems,W3,31.2407567,-103.065333
1012541,XTO Energy Inc 430 Permian  GB,Petroleum and Natural Gas Systems,W9,31.99954,-102.0797
1012551,"OXY USA Inc., Permian Basin G&B - 430",Petroleum and Natural Gas Systems,W9,31.99267,-102.16366
1012555,"DGP Taurus Field Services, L.P. 425 Bend Arch GB",Petroleum and Natural Gas Systems,W9,31.99906,-102.07688
1012558,Kinder Morgan Production 430 Permian Basin GB,Petroleum and Natural Gas Systems,W9,32.02994,-102.08741
1012603,Slant Operating LLC,Petroleum and Natural Gas Systems,W9,31.99747,-102.07785
1012632,CR Permian Basin #430 G&B,Petroleum and Natural Gas Systems,W9,31.6428,-103.8597
1012675,East Toyah Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.36258,-103.68639
1012676,ECMV Gathering and Compression,Petroleum and Natural Gas Systems,W9,31.3511246,-103.6362715
1012781,Lobo Processing Plant,Petroleum and Natural Gas Systems,W3,31.75048,-103.50753
1012788,Bearkat Cryogenic Plant,Petroleum and Natural Gas Systems,W3,31.960698,-101.4902
1012809,Riptide Gas Plant,Petroleum and Natural Gas Systems,W3,32.2422,-101.9044
1012845,Loving Gas Plant,Petroleum and Natural Gas Systems,W3,31.81881,-103.6594267
1012897,Waha Header,Petroleum and Natural Gas Systems,W4,31.274684,-103.096723
1012898,Dakota Central Processing Facility,Petroleum and Natural Gas Systems,W3,31.16137,-103.87081
1012899,Cherokee Central Processing Facility,Petroleum and Natural Gas Systems,W3,31.3458085,-103.8911999
1012900,Cheyenne Central Processing Facility,Petroleum and Natural Gas Systems,W3,30.985585,-103.744702
1012901,Panther Gas Plant,Petroleum and Natural Gas Systems,W3,31.641115,-102.193757
1012905,Redwood Central Processing Facility,Petroleum and Natural Gas Systems,W3,31.251762,-103.91959
1012906,Arrowhead Gas Plant,Petroleum and Natural Gas Systems,W3,31.2403011,-103.065333
1012922,Alpine High Pipeline,Petroleum and Natural Gas Systems,W10,32.0344725722637,-102.088028818375
1012975,Sweetwater Compressor Station,Petroleum and Natural Gas Systems,W4,32.202639,-100.49718
1012983,Brazos Midstream - Comanche Plant,Petroleum and Natural Gas Systems,W3,31.324233,-103.223179
1013052,Newberry Gas Plant,Petroleum and Natural Gas Systems,W3,31.852716,-101.777816
1013079,Pecos Bend Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.498264,-103.526652
1013183,Wildcat Gas Plant,Petroleum and Natural Gas Systems,W3,31.804744,-103.239075
1013185,Oahu Gas Plant,Petroleum and Natural Gas Systems,W3,31.242421,-103.067545
1013191,Sand Bluff Substation,Other,DD,32.0035,-101.2729
1013198,Red Bluff Express Compressor Station,Petroleum and Natural Gas Systems,W4,31.726877,-103.782665
1013207,Bearkat Substation,Other,DD,31.766,-101.5312
1013209,Faraday Substation,Other,DD,32.6479,-101.3971
1013210,Grelton Substation,Other,DD,32.1664,-101.8815
1013211,Long Draw Substation,Other,DD,32.7213,-101.633
1013266,Caymus Plant,Petroleum and Natural Gas Systems,W3,31.3353,-103.0281
1013274,Hi-Crush Permian Sands LLC Kermit Plant,Other,C_OTHER,31.861187,-103.092717
1013350,Delaware Basin Gas Processing Plant,Petroleum and Natural Gas Systems,W3,31.8245113470434,-103.910507227236
