"plant_name","operator","county","cap_mmcfd","latitude","longitude"
"Keystone","ETC Field Services LLC","Winkler",100,31.94556,-103.04417
"King Ranch Gas Plant","ETC Texas Pipeline, Ltd.","Kleberg",650,27.46806,-98.05583
"Kripple Kreek Gas Plant","Pecan Pipeline Company","Montague",160,33.52713,-97.88261
"La Gloria","DCP Operating Company, LP","Jim Wells",265,27.27639,-98.15447
"La Grange Plant","Energy Transfer Company","Fayette",200,30.00583,-96.88861
"Lobo I Plant","Delaware G&P LLC","Loving",35,31.75106,-103.50696
"Lobo II Plant","Delaware Processing LLC","Loving",135,31.75106,-103.50696
"Lone Camp","Enbridge G & P (North Texas), L.P.","Palo Pinto",40,32.66139,-98.31222
"Lone Star Plant","FL Rich Gas Services, LP","Bee",300,28.56216,-97.84995
"Longhorn Gas Plant","Enerfin Resources II-92 LP","Archer",2,33.80583,-98.49361
"Longhorn Gas Plant","Targa Gas Processing LLC","Wise",200,33.31093,-97.52678
"Longview","Enbridge G & P (East Texas) L.P.","Gregg",125,32.50361,-94.86806
"Longview Gas Plant"," ","Gregg",50,32.50361,-94.86806
"Loving Plant","Targa Delaware LLC","Loving",70,31.90058,-103.35693
"Markham Gas Processing Plant","Williams Field Services-Gulf Coast Company LP","Matagorda",550,29.01754,-96.06029
"Markley Plant","W. W. Sub, Inc.","Jack & Young",1,33.32721,-98.37376
"McLean Plant","Carrera Operating Company","Gray",25,35.24047,-100.54206
"McMullen","Houston Pipeline Co.","McMullen",5,28.4458,-98.4833
"Mercy Gas Plant","Forest Oil Corporation","San Jacinto",4,30.56603,-95.18602
"Mertzon Plant"," ","Irion",52,31.18414,-100.90693
"Midkiff Plant","Targa Pipeline MC WestTex LLC","Reagan",230,31.64655,-101.76751
"Midmar East","Coronado Midstream LLC","Martin",100,32.17797,-102.19403
"Midmar West","Coronado Midstream LLC","Andrews",65,32.16281,-102.35568
"MiVida JV Processing Plant","ETC Field Services LLC","Ward",200,31.5225,-103.46528
"New Hope","Enbridge G & P (East Texas) L.P.","Franklin",10,33.02957,-95.18893
"Old Ocean Gas Plant","Harvest Pipeline Company","Brazoria",140,29.04718,-95.74768
"Orla Plant","ETC Texas Pipeline, Ltd.","Reeves",210,31.81067,-103.89649
"Osborne Plant","Enbridge Pipelines (Texas Gathering) L.P.","Roberts",25,35.78808,-100.62102
"Ozona","Chevron","Crockett",32,30.68246,-101.21771
"Ozona Gas Processing Plant","DCP Operating Company, LP","Crockett",120,30.68246,-101.21771
"Panhandle Superplant","DCP Operating Company, LP","Hutchinson County",515,35.70127,-101.41019
"Panola","Enable Texola G&P, LLC","Panola",100,32.18278,-94.25724
"Panola II Processing Plant","BTA Gas Processing LLC","Panola",120,32.19111,-94.26639
"Panther Plant","Energy Transfer Company","Upton",210,31.64152,-102.1933
"Pecos Bend Gas Processing Plant","Caprock Permian Processing, LLC","Reeves",153,31.49826,-103.52665
"Pecos Gas Plant","EagleClaw Midstream Ventures, LLC","Reeves",250,31.39066,-103.48953
"Pecos River Plant","Medallion Operating Company, LLC","Reeves",30,31.88155,-103.81259
"Pegasus Plant","DCP Midstream","Midland",100,31.66167,-102.13806
"Ranger","Ranger Gas Gathering, L.L.C.","Eastland",8.5,32.46847,-98.78912
"Raptor Gas Plant","Carnero Processing, LLC","La Salle",260,28.41449,-99.26071
"Rawhide","DCP Operating Company, LP","Sterling",75,32.01308,-101.27979
"Rebel Plant","Energy Transfer Company","Glasscock",200,31.89006,-101.70201
"Red Bluff Plant","ETC Field Services LLC","Reeves",220,31.79964,-103.92966
"Reveille Cryogenic Plant","Texas Pipeline Processing, LLC","Webb",200,27.81368,-99.51231
"Riptide Plant","Coronado Midstream LLC","Martin",100,32.24282,-101.90423
"Roberts Ranch","DCP Operating Company, LP","Midland",70,31.78222,-102.24722
"Rosewood Plant","ETC Field Services LLC","Upshur",12,32.78708,-95.06294
